t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.0,-0.0970383584731789,1.2899904141222003,2.2239889795789187,1.0,-1.118597795096933e-09,8.373922233276994e-10,0.0,5.484501741648273e-12,7.327471962526033e-12,1.687538997430238e-12,-1.3393748643073789e-06,1.0022111103151473e-06,-5.109572714187841e-19,1.642963542991538e-08,2.1946888750790094e-08,4.9116266609416925e-09,-0.00040052681475534013,0.0002997378613077118,-1.8217711802938588e-16,1.9620071278375704,1.9620495171724326,1.9619928741270802,1.9619504847922182,9.831691016870536e-06,1.3139267451833803e-05,2.9549696023423166e-06,0.0029404284562772887,0.003929168101990399,0.0008828493491819245
0.02,-0.09703835844524945,1.2899904141595213,2.223988979587304,0.9999999999999912,-1.0642273731517069e-07,7.964198915772508e-08,1.0485486787224168e-20,7.842210214548118e-09,1.0479261902673898e-08,2.354560990625032e-09,-3.001685098839652e-05,2.2463181828684537e-05,-2.5930062158771625e-18,1.5625759020032604e-06,2.088014205980926e-06,4.6915360485400015e-07,-0.00280205045426871,0.0020969129030241358,-1.6445880688970262e-15,1.9620499545852064,1.962346502851863,1.9619502330763752,1.9616536848097175,0.00022036383828805128,0.00029446534099974997,6.616351910793128e-05,0.020570721515067447,0.027488122888996713,0.006176392730594671
0.04,-0.09703835758658243,1.2899904153069293,2.2239889798451147,0.9999999999995357,-7.715662559143641e-07,5.774045706404298e-07,-1.5630718106798045e-20,1.1388103654530468e-07,1.5217540560996667e-07,3.419220462319572e-08,-0.00011303338791302691,8.458894714978635e-05,-1.065029700760978e-17,1.132868160391709e-05,1.5138135189829427e-05,3.401372516975698e-06,-0.005474507615197717,0.0040968652586200255,4.463646419533353e-16,1.9620980943033866,1.962677478544582,1.9619032662529088,1.961323882011713,0.0008298181725097109,0.0011088583384832873,0.00024914914575902003,0.04019032190383243,0.05370501821033713,0.012067191690334766
0.06,-0.09703835179453954,1.2899904230466415,2.2239889815841463,0.9999999999950074,-2.5299529810866256e-06,1.8932998197916773e-06,-6.441476985941394e-19,5.614120543451229e-07,7.501961052369666e-07,1.6856125384379084e-07,-0.00024816799595911155,0.00018571756797247348,1.706513713182781e-16,3.714658469711196e-05,4.963773392319126e-05,1.1153078460779398e-05,-0.008014353138912756,0.00599757565738489,2.110708992237892e-14,1.9621448383582056,1.9629930236418136,1.9618596229515388,1.9610114376679404,0.0018218935665670344,0.002434533685757856,0.0005470126573925427,0.058836562011332916,0.07862126505386868,0.017665557905388596
0.08,-0.09703833055549715,1.28999045142766,2.223988987961065,0.9999999999729434,-5.889585711354749e-06,4.4074949104759e-06,-5.519517874441383e-18,1.746783696854326e-06,2.3341682142685727e-06,5.24463228401828e-07,-0.00043279530286640245,0.00032388428449201396,2.17516704661388e-18,8.647527902083674e-05,0.00011555397749773988,2.5963760030833782e-05,-0.010424271338196275,0.007801048187251795,-3.779150553997848e-14,1.9621906828522122,1.9632939176669164,1.9618197030764915,1.9607164682617688,0.0031773218361896838,0.004245744644748584,0.000953973344763881,0.07652931899304605,0.10226348656772188,0.022977886260378
0.1,-0.09703827396104997,1.2899905270529042,2.2239890049532662,0.9999999998998262,-1.1332479073873632e-05,8.480709103598982e-06,-4.521623090767174e-17,4.211695457667641e-06,5.6279455318275495e-06,1.2645406055611375e-06,-0.0006643422913428688,0.0004971641927380573,-2.8152271682826785e-15,0.00016639236002924385,0.00022234437180301825,4.995847735500547e-05,-0.01270677301973748,0.009509266879867086,1.8432356746031623e-13,1.9622360903090559,1.9635809037280725,1.9617838946541786,1.9604390812352477,0.004877230758149054,0.006517264727889938,0.001464361965020089,0.09328833400212844,0.12465668497441129,0.02800870646524345
0.12,-0.09703814987677543,1.289990692862464,2.2239890422089457,0.9999999997089941,-1.931517506233392e-05,1.4454610089098958e-05,-2.956286711539839e-16,8.635648911237137e-06,1.15395184963063e-05,2.5928097446836773e-06,-0.0009402881975819165,0.0007036717598565293,-1.134117362952285e-14,0.0002836019118157562,0.0003789670244280785,8.51499981635584e-05,-0.01486455947544258,0.011124184213655578,-4.206838177454895e-13,1.9622815167546948,1.9638547139731266,1.9617525478123363,1.96017935059371,0.006903140392644502,0.009224388142214934,0.0020726265148596212,0.10913308590154713,0.1458277942845143,0.03276543480978944
0.14,-0.09703791126040531,1.2899910117171116,2.2239891138522787,0.9999999992853247,-3.026926249190816e-05,2.2652205451639936e-05,-1.510215120426165e-15,1.5828555677277478e-05,2.1151131046615035e-05,4.752440574407046e-06,-0.0012581622042166808,0.0009415604534492766,-4.051496965669823e-14,0.00044444231739326767,0.0005938910097036398,0.00013344129357051315,-0.01690007600453091,0.012647740338182811,-2.319510511103997e-12,1.9623273794063858,1.9641160399978144,1.9617260083292745,1.959937347736776,0.009236960266112426,0.012342908251028462,0.0027733353391568016,0.12408296751198478,0.16580128381349368,0.03725406649834895
0.16,-0.09703749362627856,1.289991569786176,2.22398923924467,0.9999999984482836,-4.460186901927787e-05,3.337823076321107e-05,-6.207525395898863e-15,2.6723501130032634e-05,3.570959810073049e-05,8.023582553917663e-06,-0.0016155424556047653,0.0012090223468292972,-1.1660130706020097e-13,0.0006548940167938611,0.0008751062141598709,0.00019662772299255948,-0.018815717149217398,0.014081854733990627,-6.666753552276878e-12,1.9623740723449843,1.964365547338264,1.9617046031019818,1.9597131281056257,0.01186098608219055,0.01584910869212308,0.0035611558146797506,0.13815719263066129,0.1846011565831418,0.041479930601440174
0.18,-0.09703681265297316,1.2899924797437374,2.2239894437029495,0.9999999969338754,-6.269614504434735e-05,4.691953332667587e-05,-2.1421966335197182e-14,4.236966252152419e-05,5.661681929947093e-05,1.272123415496651e-05,-0.0020100548528874888,0.0015042876848711296,-3.294900474420838e-13,0.0009205871893958051,0.0012301330354347328,0.00027639936561740797,-0.020613723983396965,0.015428438432795268,-1.5670941549443713e-11,1.9624219589960779,1.964603869680251,1.9616886488810341,1.9595067381896276,0.01475789583593734,0.01971975205350418,0.004430879663175347,0.15137490566585754,0.20224992791639806,0.04544622456137404
